Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Johnson, Lucas",Committee to Elect Lucas Johnson,Augusta-Richmond (Cons. Gov.),Mayor,,2022,Non-Partisan,No,,,
"Johnson, Mickey ",,State,Superior Court Judge,Alapaha Judicial Circuit: Perryman,2022,Non-Partisan,No,,,
"Johnson, Myrtice",,Macon,Board of Education,1,2024,Other,No,,,
"Johnson, Robert",,Jackson,Board of Education,0,2024,Other,No,,,
"Johnson, Sasha",,Paulding,Board of Education,,2024,Other,No,,,
"Johnson, Stacy Y",Committee to Elect Stacy Y. Johnson for Judge,Augusta-Richmond (Cons. Gov.),Probate Court Judge,,2024,Democrat,No,,,
"Johnson, Stephanie ",Committee to Elect Stephanie Johnson,Athens-Clarke (Cons. Gov.),County Commissioner,6,2024,Democrat,No,,,
"Johnson, Tarece",,Gwinnett,Board of Education,5,2024,Other,No,,,
"Johnson, Teresa",,Long,Board of Education,1,2024,Non-Partisan,No,,,
"Johnson, Terrell Fitz",Friends for Fitz PSC,State,Public Service Commissioner,3,2022,Republican,Yes,422850.09,249069.7,
"Johnson, Tiffani",Friends of Tiffani Johnson,State,Superior Court Judge,Atlanta Judicial Circuit: McAfee,2024,Non-Partisan,Yes,17287.55,6937.23,
"Johnson, Tony",,Laurens,Board of Education,0,2024,Other,No,,,
"Johnson, Victoria ",Committe to Elect Judge Victoria Johnson,State,Superior Court Judge,Dougherty Judicial Circuit: Lockette,2024,Non-Partisan,No,33614.59,28501.81,
"Johnston, Harry",Johnston for Chairman,Cherokee County,County Commission Chair,,2022,Republican,No,,,
"Jolly-Turner, Sheryl Barksdale",Committee to Re-Elect Jolly Judge,State,Superior Court Judge,Augusta Judicial Circuit: Jolly-Turner,2024,Non-Partisan,No,25300,4802.1,
"Jones, Anissa Monique",Committee to Elect Anissa Jones,State,State Representative,143,2024,Democrat,Yes,45546,6066.08,
"Jones, Detric Ontarious",,Wilkes County,Sheriff,,2024,Democrat,No,,,
"Jones, Dwight Charles",,Macon-Bibb (Cons. Gov.),Waterboard,3,2022,Other,No,,,
"Jones, Emanuel",Friends of Emanuel Jones,State,State Senator,10,2022,Democrat,Yes,155636.16,137877.06,
"Jones, Harold Vernon, II",Committee to Elect Harold Jones II,State,State Senator,22,2022,Democrat,Yes,144265.41,77252.55,
"Jones, James Cornelius",Committee to Elect Jay for GA State Senate,State,State Senator,1,2022,Democrat,Yes,,,
"Jones, James Tucker, Jr.","Jones For Judge, LLC",State,Superior Court Judge,Toombs Judicial Circuit: Hinesley,2024,Non-Partisan,No,13500,10309.83,
"Jones, Jan ",Friends of Jan Jones,State,State Representative,47,2024,Republican,Yes,367750,345562.45,
"Jones, Jayre Andrew",,State,State Senator,41,2022,Republican,No,3871,3871,
"Jones, Jeffrey B",Friends of Jeff Jones LLC,State,State Senator,3,2022,Republican,No,47593.76,54259.68,
"Jones, Jonathan",,Savannah-Chatham,Board of Education,1,2024,Other,No,,,
"Jones, Justin",,State,State Representative,72,2022,Other,No,,,
"Jones, Keona ","Campaign to Elect Keona Jones, Inc.",State,State Representative,56,2022,Democrat,No,20489.45,20176.76,
"Jones, Marion Leon",,Macon-Bibb (Cons. Gov.),Coroner,,2022,Other,No,,,
"Jones, Mark Preston",Committee to Elect Mark Jones District Attorney,State,District Attorney,Chattahoochee,2022,Democrat,No,,,
"Jones, Martin C",Committee to Reelect Martin C Jones Chief Magistrate,Henry County,Chief Magistrate Judge,,2022,Non-Partisan,Yes,,,
"Jones, Matielyn ",Matielyn Jones for State Senate,State,State Senator,45,2022,Democrat,No,34190.41,35350.9,
"Jones, Nicole Yolanda",Committee to Elect Nicole Jones for Superior Court Judge,State,Superior Court Judge,Douglas Judicial Circuit: McClain,2024,Non-Partisan,No,,,
"Jones, Nicole Yolanda",Committee to Elect Nicole Jones,State,Superior Court Judge,Douglas Judicial Circuit: Warren,2024,Non-Partisan,No,,,
"Jones, Robert Leslie",,State,Public Service Commissioner,3,2024,Democrat,No,2000,112.54,
"Jones, Robert Todd",Friends of Todd Jones,State,State Representative,25,2024,Republican,Yes,355108.84,207042.73,
"Jones, Shalena Cook",,State,District Attorney,Eastern,2024,Democrat,No,44350.96,35477.62,
"Jones, Sheila ",,State,State Representative,60,2024,Democrat,No,22450.04,11311.48,
"Jones, Vernon ",Vernon Jones for Governor,,Governor,,2022,Republican,Yes,1301896.3,1301609.24,
"Jones, William Burton",Friends to Elect Burt Jones,State,State Senator,25,2022,Republican,No,161821.33,161821.33,
"Jones-Bazemore, Debra ",,State,State Representative,69,2022,Democrat,No,38569.21,23503.78,
"Jones-Parker, Shalonda",Committee to Re-Elect Judge Shalonda Jones-Parker,Clayton County,State Court Judge,0,2024,Non-Partisan,No,,,
"Jordan, David Lewis",,State,District Attorney,Northern,2024,Republican,No,36950,20969.66,
"Jordan, Jennifer Auer",,,Attorney General,,2022,Democrat,Yes,2331567.51,3380966.08,
"Jordan, Jennifer Auer",,State,State Senator,6,2022,Democrat,Yes,49816.06,49545.92,
"Jordan, John David",Jordan for Georgia,State,State Senator,56,2024,Democrat,Yes,18094.58,12400.83,
"Jordan, Julie Ann",Committee to Elect Julie Jordan,State,State Representative,179,2022,Democrat,Yes,2162.19,2162.19,
"Jordan, Patsy Padgett",Committee to Elect Patsy Jordan,Cherokee,Board of Education,1,2024,Republican,No,,,
"Judge, Laura T",Committee to Elect Laura Judge,Cobb,Board of Education,5,2024,Democrat,No,,,
"Kahaian, Noelle",Noelle for Georgia,State,State Representative,81,2024,Republican,No,35064.9,16684.26,
"KAHAIAN, NOELLE ",,State,State Representative,117,2022,Republican,Yes,30452.96,30702.96,
"Kang, Michelle ","Friends of Michelle Kang, Inc",State,State Representative,99,2024,Democrat,Yes,82622.37,12797.76,
"Karpf, Benjamin ",Karpf for Superior Court,State,Superior Court Judge,Eastern Judicial Circuit: Karpf,2022,Non-Partisan,No,36084.6,3871.7,
"Kaufold, Howard C.",Howard C. Kaufold Jr. for Superior Court Judge,State,Superior Court Judge,Oconee Circuit,2024,Non-Partisan,Yes,26369.05,6788.71,
"Kausche, Angelika ",Angelika for Georgia,State,State Representative,50,2022,Democrat,Yes,17136.73,17136.73,
"Kavanaugh, Kevin",,Glynn,Board of Education,at-Large,2022,Republican,No,,,
"Kaye, Mitchell ",Friends of Mitchell Kaye,State,State Representative,45,2022,Republican,No,26930.64,26388.32,
"Keaton, Rebecca",,Cobb County,Probate Court Judge,,2024,Other,No,,,
"keener, Richard Douglas",Keener For Senate,State,State Senator,54,2022,Republican,No,31982.15,31982.15,
"Keeney, Derek Lee",Committee to Elect Derek Keeney,State,State Senator,14,2022,Republican,Yes,53884,51323.76,
"Kell, Carlton LaTain, Sr.",Kell for Superior Court,State,Superior Court Judge,Cobb Judicial Circuit: Kell,2022,Non-Partisan,No,6462.85,6462.85,
Kelley Othel Doyle "Trey",Kelley for House,State,State Representative,16,2024,Republican,Yes,199450.83,212702.177,
"Kelly, Bonnie",,Baker,Board of Education,0,2024,Other,No,,,
"Kelly, James Corbitt, Jr.",,Morgan County,Sheriff,,2024,Republican,No,,,
"KELLY, ROBERT",PEOPLE FOR ROBERT H. KELLY INC,Fulton County,County Commissioner,5,2022,Democrat,No,,,
"Kelly, William Donald, Jr.",Don Kelly for District Attorney,State,District Attorney,Chattahoochee,2024,Republican,No,5784.19,3884.19,
"Kemp, Brian Porter","Kemp For Governor, Inc.",,Governor,,2022,Republican,Yes,20538268.25,37146866.67,
"Kemp, Hunter",Hunter for Georgia,State,State Representative,84,2024,Democrat,No,,,
"Kemp, Lawson Ellis, III",,Laurens County,County Commissioner,0,2024,Other,No,,,
"Kemp, Rashaun ",Committee to Elect Rashaun Kemp,State,State Representative,61,2024,Democrat,Yes,94503.5,94413.5,
"Kemp, Rashaun Lamar",Committee to Elect Rashaun Kemp,State,State Senator,38,2024,Democrat,No,52433.18,43447.63,
"Kendall, William Marshall",,State,District Attorney,Houston,2024,Republican,No,,,
"Kendall, William Marshall",Committee to Elect Will Kendall for Sheriff,Houston County,Sheriff,,2024,Republican,Yes,,,
"Kendrick, Dar'shun Nicole",,State,State Representative,95,2024,Democrat,Yes,54814.52,54439.25,
"Kendrick, Steven",,Augusta-Richmond (Cons. Gov.),Tax Commissioner,,2024,Other,No,,,
"Kenemer, Benjamin Bruce",Committee to Elect Benjamin Kenemer,State,District Attorney,Conasauga,2024,Republican,Yes,1400,,
"Kennard, Gregg ",,State,State Representative,101,2024,Democrat,No,79016.75,77112.24,
"Kennedy, John Flanders",John F. Kennedy for Senate,State,State Senator,18,2022,Republican,Yes,1001703.44,581606.5,
"Kenner Jones, Whitney C",Elect Whitney Kenner Jones,State,State Senator,35,2022,Democrat,No,10177.1,17582.7,
"Kettering, Paul Gregory",,State,State Representative,22,2024,Republican,No,200,,
"Keyton, Clinton Mel",,State,State Representative,65,2024,Democrat,Yes,,,
"KHAN, MOHAMMAD ",,Paulding County,Magistrate Court Judge,,2024,Non-Partisan,Yes,,,
"KHAN, MOHAMMAD ",KHAN FOR OFFICE 2024,State,State Representative,19,2024,Non-Partisan,Yes,3600,3400,
"KHAN, MOHAMMAD ZAFAR",KHAN FOR OFFICE 2024 (KHANFOROFFICE.COM),State,State Representative,40,2024,Non-Partisan,No,2725,1600,
"Kicklighter, Brian",,Chatham County,County Commissioner,7,2024,Other,No,,,
"Kight, Jordan Wesley",,Toombs County,Sheriff,,2024,Republican,No,,,
"Kilgore, Steven R",Friends to Elect Steve Kilgore,Greene,Board of Education,1,2022,Republican,Yes,,,
"Kilpatrick, Patrice",,Union County,County Commissioner,9,2024,Republican,No,,,
"King, Ambrose B, Jr.",,Tift,Board of Education,1,2024,Other,No,,,
"King, Patrina ",Committee to Elect Patrina King,Gwinnett,Board of Education,5,2024,Non-Partisan,No,,,
"King-Anderson, Angela ",The Committee to Elect Angela King-Anderson,Houston County,Clerk of Superior Court,,2024,Democrat,Yes,,,
"Kinnemore, Lisa Y",Kinnemore For HD 86,State,State Representative,86,2022,Republican,No,9915,9809.94,
"Kinney, Arthur Demoine",,State,State Representative,92,2022,Democrat,No,3730,3567.32,
"Kirby, Lester Thomas",,State,State Representative,114,2022,Republican,No,3467.08,3467.08,
"Kirk, Cassandra",Committee to Keep Judge Kirk,Fulton County,Chief Magistrate Judge,,2022,Non-Partisan,No,,,
"Kirkpatrick, Gregg Rodne",Gregg Kirkpatrick for Georgia,State,State Representative,21,2024,Republican,No,,,
"Kirkpatrick, Kay ",Kay For Senate,State,State Senator,32,2024,Republican,Yes,386713,409887.83,
"Kjer, Margaret Wohler",Committee to Elect Dr. Maggie Kjer Greene Co BOE District 4,Greene,Board of Education,4,2024,Republican,No,,,
"Knight, David ",David Knight for State House,State,State Representative,135,2024,Republican,Yes,58900,62864.66,
"Knights, Stephen Norris, Jr.","Committee to Elect Stephen N. Knights, Jr.",Henry County,State Court Judge,at-Large,2024,Non-Partisan,Yes,,,
"Knox, Sean Michael",Sean Knox for State House,State,State Representative,139,2024,Republican,Yes,128549,106786.07,
"Knudsen, Steven",,Gwinnett,Board of Education,2,2022,Other,No,,,
"Kolpak, Robert ",,Henry County,County Commissioner,4,2022,Other,No,,,
"Korman, Peter J",,State,State Representative,51,2022,Republican,No,54726,44324.07,
"Kosicki, Donna",Committee to Elect Donna Kosicki,State,State Representative,22,2022,Republican,Yes,22753.93,22753.93,
"Kott, Cathleen",Votes for Change,State,State Representative,6,2024,Democrat,No,9184.47,4087.18,
"Kramer, Betsy Shaw",Friends of Betsy,State,State Representative,50,2022,Republican,Yes,17515.22,93172.67,
"Kramer, Courtney ",Friends of Courtney Kramer,State,District Attorney,Atlanta,2024,Republican,Yes,29320,2822.08,
"Krause, Rachel R.","Friends of Judge Rachel Krause, Inc.",State,Superior Court Judge,Atlanta Judicial Circuit: Krause,2024,Unspecified,Yes,157102.31,44705.73,
"Kregoski, Janna","Janna for Georgia, Inc.",Forsyth,Board of Education,1,2022,Democrat,No,,,
"Kreuziger, Rhonda Bender",Committee to Elect Rhonda Kreuziger,State,Superior Court Judge,Griffin Judicial Circuit: Kreuziger,2022,Non-Partisan,No,1750,,
"KRISE, JUNE ",COMMITTEE TO ELECT JUNE KRISE,State,State Senator,50,2024,Democrat,No,9044.48,928.44,
"Krise, June ",Committee to Elect June Krise,State,State Representative,8,2022,Democrat,No,27958.81,26005.64,
"Krockum, James Robin",,Habersham County,Sheriff,,2024,Republican,No,,,
Krul Lawrence "Larry" S.,,Stephens County,County Commissioner,1,2022,Republican,No,,,
"Krzic, Kc",,Henry County,County Commissioner,5,2022,Democrat,No,,,
"Krzic, Kc M",,Henry County,County Commissioner,5,2022,Democrat,No,,,
"Labat, Patrick L",Labat for Sheriff LLC,Fulton County,Sheriff,,2024,Democrat,Yes,,,
"LaHood, John ",LaHood for Georgia,State,State Representative,175,2022,Republican,Yes,264213.69,177293.73,
"Lajoye, Mark",Committee to Elect Mark Lajoye Sheriff,Columbus-Muscogee (Cons. Gov.),Sheriff,,2024,Republican,Yes,,,
"Lake, Brian ","Friends of Judge Brian Lake, Inc.",State,Superior Court Judge,Stone Mountain Judicial Circuit: Scott,2024,Non-Partisan,Yes,82711.42,66945.44,
"Lake, Marsha Sylvia",Committee To Elect Marsha Lake,Cobb County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Lamb, Lewis R",,State,District Attorney,Southwestern,2024,Other,No,,,
"Lan, Steven Curtis",,Hazlehurst,City Councilperson,2,2024,Non-Partisan,No,,,
"Lance, William Harrison",Friends of Harrison Lance,State,State Senator,6,2022,Republican,Yes,73800,73800,
Land Benjamin A. "Ben",Committee to Elect Judge Ben Land,State,Superior Court Judge,Chattahoochee,2024,Non-Partisan,Yes,61783.13,61783.13,
"Land, Benjamin Arthur","Judge Ben Land for Court of Appeals, Inc.",,Court of Appeals Judge,,2024,Non-Partisan,Yes,348551.49,97417.22,
"Landgaard, Angela ",Committee to Elect Angela Landgaard,Fayette County,Probate Court Judge,,2024,Republican,No,,,
"Lane, Roger B.",Committee to Elect Roger B Lane,State,Superior Court Judge,Brunswick,2022,Non-Partisan,Yes,7700,7163.7,
"Lang, Steven ",Steven Lang For West Cobb,State,State Representative,36,2024,Democrat,No,,,
"Langley, william Jeffrey",Jeff Langley for DA,State,District Attorney,Enotah,2022,Republican,No,15270.99,6220.57,
"Lanier, Heather Hendricks",Committee To Elect Heather Lanier,State,Superior Court Judge,South Georgia Judicial Circuit,2024,Non-Partisan,Yes,24113.68,6015.39,
"Lanning, Christopher Scott",Committee to Elect Chris Lanning,Cobb County,Solicitor General,,2022,Democrat,No,,,
"Lannom, Donald Andrew",D.A. for State House,State,State Representative,28,2022,Republican,No,15486.62,15486.62,
"LaRiccia, Dominic Francis",LaRiccia for State Representative,State,State Representative,169,2022,Republican,No,177820.03,118065.69,
"Larkin Floria, kimberly Ann",The Committee to Elect Kim Floria,State,State Representative,30,2024,Democrat,No,27101.57,23511.16,
"Laster, Justin Dekota",Justin Laster For Governor,,Governor,,2022,Other,Yes,226.75,,
"Lattanzio, Marc",,State,State Representative,71,2024,Republican,Yes,,,
"Lawler, Kenneth D.","Ken Lawler for Georgia, LLC",State,State Representative,49,2022,Unspecified,No,205.01,7109.32,
"Lawson, Candace T",Candace Lawson,Greene County,Tax Commissioner,,2024,Republican,No,,,
"Ledbetter, Janice Bernadette",Making a Change to be Ledbetter,Bartow County,Chief Magistrate Judge,,2024,Democrat,No,,,
"Ledbetter, Janice Bernadette",Making A Change To Be Ledbetter,Bartow County,Chief Magistrate Judge,,2024,Democrat,Yes,,,
"Lee, Byron",,Madison,Board of Education,4,2024,Other,No,,,
"Lee, Martha",,Bacon,Board of Education,5,2024,Other,No,,,
"Lee, Perry",Friends to Elect Dr. Perry Lee,Buford,Board of Education (Removed),,2024,Republican,No,,,
"Lee, Robert Wade, II",Lee for Georgia LLC,Paulding,Board of Education,1,2024,Republican,Yes,,,
"Lee, Steven","STEVEN LEE, COMMITTEE TO ELECT",State,State Representative,60,2022,Democrat,No,,,
"Legrand, Cletonya",,Henry County,County Commissioner,5,2022,Other,No,,,
"Lenaeus, Samuel S","Neighbors of Samuel S Lenaeus, INC",State,State Representative,55,2024,Republican,Yes,7966.04,4422.53,
"Leonard, Julia ",,Talbot,Board of Education,1,2022,Non-Partisan,No,,,
"Lester, Joe N",,State,State Senator,43,2022,Democrat,No,11531.45,11531.45,
"Lester-Anthony, Wanda Renia",,State,State Representative,39,2022,Democrat,No,125,49.96,
"Levent, Todd ",,Forsyth County,County Commissioner,3,2024,Other,No,,,
"Leverett, Robert Freeman",Rob Leverett for State House,State,State Representative,33,2022,Republican,No,177056.7,70986.06,
"Lewis Gaskins, Laverne ",Friends To Elect Laverne Lewis Gaskins,State,Superior Court Judge,Augusta Judicial Circuit: Wright,2022,Non-Partisan,No,24667.28,24667.28,
"Lewis, Antonio C",Committee to elect Tony Lewis,Augusta-Richmond (Cons. Gov.),County Commissioner,6,2022,Non-Partisan,No,,,
"Lewis, Chaundra",Committee to Elect Chaundra Lewis,Henry County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Lewis, Daryl",,State,State Representative,64,2022,Democrat,No,13572.16,6641.39,
"Lewis, Jeff ",Jeff Lewis for State Senate,State,State Senator,52,2022,Republican,No,116975,116975,
"Lewis, Joshua Dylan","Joshua Lewis for Georgia, Inc.",State,State Representative,134,2024,Republican,No,,,
"Lewis, Kevin Jeremaine",Committee to Elect Kevin J. Lewis,Henry County,County Commissioner,5,2022,Democrat,No,,,
"Lewis, Ronnie K",,Appling County,Chief Magistrate Judge,,2022,Republican,No,,,
"Lewis, Sharell F",Sharell F. Lewis Campaign Committee,Macon-Bibb (Cons. Gov.),State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Lewis-Ward, Regina ",Lewis-Ward for Georgia Families,State,State Representative,109,2022,Democrat,Yes,171930.03,164832.15,
"Lim, Marvin ","Friends of Marvin Lim, Inc.",State,State Representative,98,2022,Democrat,Yes,57591.48,46104.1,
"LIM, MENG H.",,State,Superior Court Judge,Tallapoosa Judicial Circuit: Lim,2022,Non-Partisan,Yes,148674.74,93160.15,
"Lindsey, Brian Edward",,Johnson County,County Commissioner,4,2024,Republican,No,,,
"Lindsey, Stephanie R","Committee to Elect Stephanie R. Lindsey, Inc.",Newton County,County Commissioner,3,2024,Democrat,No,,,
"Lionel, Lillia Michelle",Lionel2024,State,State Senator,21,2024,Democrat,Yes,2262.9,1143.43,
"Lockett, Bobby",,Chatham County,County Commissioner,3,2024,Other,No,,,
"Lockette, Willie Earl",,State,Superior Court Judge,Dougherty Judicial Circuit: Lockette,2024,Non-Partisan,No,,,
"Lodge, Christopher Noel",,State,State Representative,57,2022,Other,No,720,720,
"LOFTON, MILTON , Jr.",STAND UP,,Governor,,2022,Other,No,,,
"Lollar, Charles",,State,State Representative,110,2022,Republican,No,,,
"Long Spears, Michelle",Michelle for DeKalb,DeKalb County,County Commissioner,2,2022,Democrat,Yes,,,
"Long, Daunta",Committee to elect Daunta Long,Clayton County,County Commissioner,3,2024,Democrat,No,,,
"Long, LeAnne ",,Newton County,County Commissioner,5,2024,Republican,No,,,
"Long, Ralph A., III",,State,State Senator,38,2024,Democrat,No,13789.84,13300,
"Lopez, Zulma ",Friends of Zulma Lopez,State,State Representative,86,2022,Democrat,Yes,34662.95,22242.04,
"Lott, Jodi","Jodi Lott for Georgia, LLC",State,State Representative,122,2022,Republican,No,127121.97,119921.88,
"Lott, Lisa ",Lisa Lott for Judge,State,Superior Court Judge,Western Judicial Circuit: Lott,2022,Non-Partisan,No,41770,39629.28,
"Lotti, Vincent Anthony",Committee to Keep Vincent Lotti as State Court Judge,Henry County,State Court Judge,0,2022,Non-Partisan,No,,,
"Love, Demetrius Thamian",Committee to Elect Demetrius Love,State,State Representative,153,2022,Democrat,No,,,
"Lovett, Edwin",,Screven County,County Commissioner,1,2022,Democrat,No,,,
"Lowe, Jeffrey Carter",Committee to Elect Jeff Lowe,State,State Representative,136,2024,Democrat,No,125,400,
"Lowe, Paul M",,Warren County,Coroner,,2024,Other,No,,,
"Lowry, Daelen",,State,State Representative,96,2022,Republican,No,5592,3408.85,
"Lubin, David",Friends of David Lubin,State,State Senator,40,2024,Democrat,Yes,179957.92,107385.08,
"Lubin, Hal David",Friends of David Lubin,State,State Senator,40,2024,Democrat,Yes,23700,,
"Lucas, Cary",,State,State Representative,25,2024,Republican,No,176474.5,80438.53,
"Lucas, David Eugene, Sr.",David Lucas Campaign,State,State Senator,26,2024,Democrat,No,110750,48008.67,
"LUCAS, ELAINE H",ELAINE H LUCAS CAMPAIGN FUND,Macon-Bibb (Cons. Gov.),Waterboard,1,2024,Democrat,No,,,
"Luchetti, John",,State,State Representative,28,2022,Republican,No,1828.88,,
"LUGUE, MARIA S.",,Glynn County,Solicitor General,,2024,Non-Partisan,No,,,
"Lukemire, Edward D",,State,Superior Court Judge,Houston,2024,Non-Partisan,No,,,
"Lumsden, James Edward",Eddie Lumsden for State House,State,State Representative,12,2022,Republican,Yes,369022.05,142118.03,
"Lumsden, Katherine Kelley",Committee to Elect Judge Katherine Lumsden,State,Superior Court Judge,Houston Judicial Circuit: Lumsden,2024,Non-Partisan,No,,,
"Lupton, Karen","Karen for Georgia, inc",State,State Representative,83,2022,Democrat,Yes,86959.55,61531.93,
"Luttrell, James K.",Committee to Elect James Luttrell Inc,State,Superior Court Judge,Cobb Judicial Circuit: Flournoy,2022,Non-Partisan,No,78127.54,59554.66,
"Lyles, Thomas David",David Lyles for Judge,State,Superior Court Judge,Paulding Judicial Circuit: Lyles,2024,Non-Partisan,Yes,17031.7,7862.7,
"Lynch, William Ray, Jr.",Citizens to Elect Ray Lynch for School Board,Cherokee,Board of Education,6,2022,Republican,No,,,
"Lyons, Charles H S, III","Committee to Elect Charles H S Lyons, III Superior Court Judge",State,Superior Court Judge,Augusta Judicial Circuit: Stone,2022,Non-Partisan,No,59561.21,59561.21,
"Lyons, Charles H.S., III","Committee To Elect Charles Lyons, III Superior Court Judge",State,Superior Court Judge,Augusta Judicial Circuit: Craig,2024,Non-Partisan,Yes,44350.67,22827.94,
"Lyons, Royland Theopilus",,State,State Representative,45,2024,Democrat,No,,,
"Mack, Robert Lee, Jr.",,State,Superior Court Judge,Clayton Judicial Circuit: Mack,2022,Non-Partisan,No,,,
"Mack, Rod",,,Governor,,2022,Non-Partisan,Yes,,,
"Mack, Yolanda","Committee to Elect Yolanda Mack, Inc.",DeKalb County,State Court Judge,3,2024,Non-Partisan,Yes,,,
"Macke, Tracie Grove",Committee  to Elect Tracie Macke Judge,Chatham County,Magistrate Court Judge,,2024,Non-Partisan,No,,,
"MacLeod, Kellie",,State,State Senator,56,2022,Democrat,No,,,
"Madison, Cornell Jerome, Jr.",,Henry County,Sheriff,,2024,Democrat,No,,,
"Mahone, Carlton",,Talbot,Board of Education,4,2022,Non-Partisan,No,,,
"Mahone, Carlton , Sr.",Carlton Mahone Campaign Committee 2024 D-137,State,State Representative,137,2024,Democrat,No,4000,2993.9,
"Mahone, Carlton, Sr.",Carlton Mahone Campaign Committee 2024 D-137,State,State Representative,137,2024,Democrat,No,4000,2993.9,
"Mahone, Melvin ",Committee to Elect Dr. Melvin Mahone,Columbia,Board of Education,3,2022,Non-Partisan,No,,,
"Maignan, Martine",,State,State Representative,38,2024,Democrat,No,3800,4400,
"Mainor, Mesha ",Friends and Family for Mesha Mainor,State,State Representative,56,2024,Democrat,Yes,136459.5,73554.56,
"Majeroni, Elizabeth Holland",,State,State Senator,1,2024,Republican,No,81293.72,50820.66,
"Major, James ",Major Change USA,State,State Representative,10,2024,Republican,Yes,,,
"Malik, Rashid A",Make America Better DR Malik,,Lieutenant Governor,,2022,Democrat,No,1575,1575,
"MALLARD, ROBERT ",FRIENDS OF ROBERT D MALLARD,State,State Representative,139,2024,Other,Yes,,,
"Mallow, Derek",Friends of Derek Mallow,State,State Representative,163,2022,Democrat,Yes,44431.06,31338.66,
"Mallow, Derek ",Friends of Derek Mallow,State,State Senator,2,2022,Democrat,No,248398.94,187834.71,
"MALONE, SHANA ROOKS",,State,Superior Court Judge,Clayton Judicial Circuit: Rooks-Malone,2024,Non-Partisan,No,,,
"Maney, Tyler Joe",,Banks,Board of Education,4,2024,Republican,No,,,
"Mangham, Randal Alonzo",Committee to Elect Randal Mangham,State,State Senator,55,2024,Democrat,No,23950,15551.73,
"manley, Frederick Delmar",,State,State Senator,29,2022,Democrat,No,,,
"Manns, Daryl",Manns For DA LLC,State,District Attorney,Gwinnett,2024,Democrat,No,39899,26691.9,
"Manuel, Samuel William",,,Governor,,2022,Other,No,549,549,
"Marbutt, Jason ",Marbutt for Judge,State,Superior Court Judge,Cobb Judicial Circuit: Marbutt,2024,Non-Partisan,Yes,430002.62,7347.72,
"Marin, Pedro R",Marin for State House,State,State Representative,96,2022,Democrat,No,52781.11,47663.62,
"Mark, Joseph ",Joseph Mark For Sheriff LLC,Gwinnett County,Sheriff,,2024,Democrat,Yes,,,
"Markham, Carrie Beavers",Committee to Elect Carrie Beavers Markham,Coweta County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Marsh, Rocky ",The JUST ROC Committee,Columbus-Muscogee (Cons. Gov.),City Councilperson,10,2024,Non-Partisan,Yes,,,
"Marshall, Denise ",Committee To Elect Denise Marshall Superior Court Judge,State,Superior Court Judge,Dougherty Judicial Circuit: Marshall,2024,Democrat,No,33986.3,4073.71,
"Marshall, Taneesha Dobyne",Committee to Elect Taneesha Marshall,State,Superior Court Judge,Cobb Judicial Circuit: Flournoy,2022,Non-Partisan,No,61267,40738.78,
"Marshall, Taschea",,State,State Representative,17,2022,Democrat,No,,,
"Martin, Charles E., Jr.",Martin for Georgia,State,State Representative,49,2024,Republican,Yes,282240.05,150121.92,
"Martin, Corey ",Friends To Elect Corey Martin For Superior Court Judge LLC,State,Superior Court Judge,Douglas Judicial Circuit: Adams,2024,Non-Partisan,No,22721.47,7925.75,
"Martin, John Tally","Friends to Elect Judge John T. Martin, Inc.",State,Superior Court Judge,Chattahoochee Judicial Circuit: Martin,2024,Non-Partisan,No,26025,6459.01,
"Martin, Luke",Luke Martin for State Senate,State,State Senator,52,2022,Republican,No,37897,37897,
"Martin, Luke Anthony",Luke Martin for State House,State,State Representative,13,2022,Republican,No,20837.62,20837.62,
"Martin, Peter Kuhl, IV",PK Martin for State Senate,State,State Senator,9,2022,Republican,No,60675.36,61398.6,
"Martinez, Ana Mar�a","Friends of Judge Martinez, Inc.",DeKalb County,State Court Judge,6,2024,Non-Partisan,Yes,,,
"Martinez, Britni",,Wilcox,Board of Education,3,2022,Republican,No,,,
"Martinez, Maggy",Committe to Elect Maggy Martinez,State,State Representative,74,2024,Democrat,No,4475,4425.02,
"Martinez, Reynaldo ",Rey for House District 111,State,State Representative,111,2024,Republican,No,89836.05,44806.87,
"Mashburn, Jenna S",,Pulaski County,County Commissioner,0,2022,Republican,No,,,
"Mason, Aaron Bradford",,State,Superior Court Judge,Clayton Judicial Circuit: Mason,2022,Non-Partisan,No,,,
"Mason, Tracey D.",Committee to Re-Elect Tracey D. Mason,State,Superior Court Judge,Gwinnett Judicial Circuit: Mason,2022,Non-Partisan,No,74249.11,24849.51,
"Massey, Leonard C",,Chatham County,County Commissioner,6,2024,Other,No,,,
"Massey, Leonard Charles",,Chatham County,County Commissioner,6,2024,Republican,No,,,
"Massey, Terry Nelson",,State,Superior Court Judge,Ocmulgee Judicial Circuit: Massey,2024,Non-Partisan,No,61873.18,4073.71,
"Massiah, Nicole",Committee to Elect Nicole Massiah,DeKalb County,County Commissioner,3,2024,Democrat,No,,,
"Mastroserio, Denise",Friends of Denise Mastroserio,Cherokee County,Tax Commissioner,,2022,Republican,No,,,
